poison_pct,defense,keep,clean_acc,asr,n
0,isolation,1.0,0.9837,0.1011,1
0,none,1.0,0.8118846153846154,0.10786153846153847,13
1,isolation,0.05,0.2958,0.0643,1
1,isolation,0.5,0.7302166666666666,0.6552,6
1,isolation,0.7,0.7127,0.7004166666666668,6
1,isolation,0.85,0.6412666666666667,0.56135,6
1,isolation,0.95,0.5466375,0.47366250000000004,8
1,isolation,1.0,0.9894,0.9985,4
1,none,1.0,0.8589399999999999,0.9196200000000001,5
5,isolation,0.15,0.4387,0.8803,1
5,isolation,0.3,0.56775,0.6995,2
5,isolation,0.5,0.7427333333333334,0.8966,3
5,isolation,0.7,0.7799999999999999,0.9679666666666668,3
5,isolation,0.84996,0.77235,0.9553499999999999,2
5,isolation,0.85,0.7939999999999999,0.9771000000000001,3
5,isolation,0.95,0.8129666666666667,0.9721000000000001,3
5,isolation,1.0,0.781975,0.9652000000000001,4
5,none,0.85008,0.7533,0.9717,1
5,none,1.0,0.81875,0.97183,10
5,spectral,0.15,0.3436,0.8597,1
10,isolation,0.5,0.6934666666666667,0.9623333333333334,3
10,isolation,0.7,0.7626666666666667,0.9754999999999999,3
10,isolation,0.85,0.7901666666666666,0.9890666666666666,3
10,isolation,0.95,0.8161333333333333,0.9887666666666667,3
10,none,1.0,0.8156,0.9691666666666666,3
